model,isl,osl,concurrency,request_rate,bs,global_bs,ttft,tpot,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,tokens/s/gpu_cluster
QWEN3_32B,4000,500,13,2.61,13,13,187.97,8.887,2.61,0.652,1302.377,325.594,112.52,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,15.332,0.014,2.0,11.0,7691.0,7680,11.0,trtllm,0.20.0,h200_sxm,325.594
QWEN3_32B,4000,500,24,5.111,24,24,135.754,8.628,5.111,0.639,2550.551,318.819,115.9,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,11.406,0.024,2.0,22.0,8022.0,8000,22.0,trtllm,0.20.0,h200_sxm,318.819
QWEN3_32B,4000,500,12,2.488,12,12,195.014,8.529,2.488,0.622,1241.288,310.322,117.245,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,15.219,0.012,2.0,10.0,8010.0,8000,10.0,trtllm,0.20.0,h200_sxm,310.322
QWEN3_32B,4000,500,20,4.553,20,20,135.581,8.021,4.553,0.569,2271.83,283.979,124.68,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,11.131,0.02,2.0,18.0,8018.0,8000,18.0,trtllm,0.20.0,h200_sxm,283.979
QWEN3_32B,4000,500,16,3.911,16,16,135.439,7.414,3.911,0.489,1951.599,243.95,134.883,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,10.856,0.016,2.0,14.0,8014.0,8000,14.0,trtllm,0.20.0,h200_sxm,243.95
QWEN3_32B,4000,500,12,3.155,12,12,135.327,6.836,3.155,0.394,1574.261,196.783,146.275,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,10.581,0.012,2.0,10.0,8010.0,8000,10.0,trtllm,0.20.0,h200_sxm,196.783
QWEN3_32B,4000,500,11,2.927,11,11,130.596,6.772,2.927,0.366,1460.787,182.598,147.663,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,10.488,0.011,2.0,9.0,7689.0,7680,9.0,trtllm,0.20.0,h200_sxm,182.598
QWEN3_32B,4000,500,10,2.748,10,10,135.271,6.505,2.748,0.344,1371.411,171.426,153.738,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,10.443,0.01,2.0,8.0,8008.0,8000,8.0,trtllm,0.20.0,h200_sxm,171.426
QWEN3_32B,4000,500,4,1.246,4,4,76.219,6.0,1.246,0.156,621.646,77.706,166.657,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,9.726,0.008,1.0,3.0,4003.0,4000,3.0,trtllm,0.20.0,h200_sxm,77.706
QWEN3_32B,4000,500,3,0.972,3,3,108.26,5.971,0.972,0.121,484.806,60.601,167.474,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,9.821,0.004,2.0,1.0,6145.0,6144,1.0,trtllm,0.20.0,h200_sxm,60.601
QWEN3_32B,4000,500,3,0.97,3,3,76.202,5.907,0.97,0.121,483.816,60.477,169.287,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,9.657,0.006,1.0,2.0,4002.0,4000,2.0,trtllm,0.20.0,h200_sxm,60.477
QWEN3_32B,4000,500,3,0.968,3,3,119.63,5.874,0.968,0.121,483.052,60.382,170.229,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,9.586,0.008,1.0,2.0,3074.0,3072,2.0,trtllm,0.20.0,h200_sxm,60.382
